,school_id,mean,intervention,remoteness_index,cct_percentage,student_classroom_ratio,student_teacher_ratio,pwd_total,female_percentage,male_percentage,pca
0,104408,16.39,1,0.001920619,0.020900322,0.004487152,0.032395833,0,0.36227224,0.309485531,0.000999999
1,104409,18.342,0,0.001748571,0.003261579,0.004235427,0.034527027,0,0.369210698,0.29419439,0.001000055
2,104410,14.338,1,0.004543476,0.016877637,0.004396461,0.028214286,0,0.382559775,0.292194093,0.000999999
3,104411,17.934,0,0.008398758,0.005509642,0.002356837,0.03025,0,0.365472911,0.296143251,0.000999999
4,104412,14.04,1,0.002622856,0.003367003,0.004537226,0.029117647,0,0.35016835,0.304713805,0.000999999
5,104415,13.766,1,0.003497142,0.130357143,0.004277519,0.031111111,0,0.354761905,0.3,0.000999999
6,104416,16.44,1,0.002973975,0.190348526,0.003874821,0.029603175,0,0.374441466,0.294906166,0.000999999
7,104417,17.254,0,0.004199379,0.007042254,0.002048796,0.014791667,0,0.291079812,0.348591549,0.000999999
8,104418,16.602,1,0.002450808,0.045219638,0.00478602,0.029318182,0,0.391042205,0.274547804,0.001000055
9,104420,14.872,1,0.020547464,0.009987516,0.003852314,0.030340909,0,0.334581773,0.312109863,0.000999999
10,104421,15.5,1,0.022303058,0.046728972,0.003473575,0.02547619,0,0.370716511,0.275700935,0.001000055
11,104422,16.576,1,0.023749666,0.444444444,0.00200345,0.015,0,0.333333333,0.324074074,0.000999999
12,104423,15.968,1,0.022303058,0.169078446,0.004158472,0.026686992,0,0.36405179,0.290175171,0.001000055
13,104424,17.208,0,0.014251204,0.034567901,0.003756469,0.024107143,0,0.350617284,0.298765432,0.000999999
14,104425,14.492,1,0.022303058,0.152777778,0.001869887,0.02,0,0.351851852,0.298611111,0.000999999
15,104426,13.846,1,0.062990688,0.666666667,0.002114753,0.011875,0,0.339181287,0.307017544,0.001000919
16,104427,15.444,1,0.0299434,0.517241379,0.002151854,0.013809524,0,0.333333333,0.293103448,0.000999999
17,104428,13.618,1,0.022303058,0.06504065,0.003549323,0.029285714,0,0.306233062,0.325203252,0.000999999
18,104429,13.416,1,0.049634134,0,0.002726919,0.0175,0,0.321995465,0.329931973,0.000999999
19,104430,18.022,0,0.025347256,0.073578595,0.002426633,0.027685185,0,0.363433668,0.301003344,0.001000055
20,104431,15.794,1,0.024788978,0.111111111,0.004674718,0.03,0,0.383597884,0.275793651,0.000999999
21,104432,13.39,1,0.034901195,0.373961219,0.003906419,0.030083333,0,0.352723915,0.315789474,0.001000055
22,104433,12.77,1,0.043085771,0,0.002281707,0.017083333,0,0.379403794,0.300813008,0.000999999
23,104434,13.086,1,0.03311049,0.208333333,0.002077652,0.017142857,0,0.37962963,0.28125,0.001000055
24,104435,14.134,1,0.03021025,0.182471264,0.007531489,0.030526316,0,0.340038314,0.32112069,0.000999999
25,104436,11.2,1,0.025449081,0.375968992,0.003045649,0.026875,0,0.397932817,0.298449612,0.000999999
26,104437,13.754,1,0.031930731,0.031690141,0.003073194,0.029583333,0,0.354460094,0.286971831,0.000999999
27,104438,10.95,1,0.055336301,0.081967213,0.001980262,0.010166667,0,0.306010929,0.385245902,0.001000919
28,104439,11.4,1,0.031390009,0.725,0.001038826,0.008333333,0,0.283333333,0.35,0.001000919
29,104440,14.682,1,0.026151318,0,0.003415141,0.027395833,0,0.377693283,0.287072243,0.001000055
30,104441,14.4,1,0.047190348,0.689655172,0.002259447,0.0145,0,0.413793103,0.264367816,0.000999999
31,104442,13.134,1,0.022303058,0.675213675,0.003038566,0.013928571,0,0.358974359,0.307692308,0.000999999
32,104446,14.676,1,0.014662715,0.352517986,0.0022562,0.014479167,0,0.340527578,0.338129496,0.000999999
33,104447,13,1,0.023749666,0,0.0019849,0.012738095,0,0.380062305,0.303738318,0.000999999
34,104448,13.346,1,0.024367635,0.272727273,0.002499675,0.018333333,0,0.298701299,0.350649351,0.000999999
35,104449,13,1,0.022303058,0.00462963,0.004006901,0.025714286,0,0.388888889,0.284722222,0.000999999
36,104450,15.746,1,0.02023848,0.276752768,0.003519024,0.028229167,0,0.371463715,0.289667897,0.000999999
37,104451,13.1,1,0.039967838,0.56,0.002164221,0.010416667,0,0.373333333,0.31,0.000999999
38,104452,14.89,1,0.036993862,0.242957747,0.003352575,0.033809524,0,0.361502347,0.286971831,0.000999999
39,104453,13.438,1,0.039132175,0.030418251,0.004268926,0.027395833,0,0.342205323,0.307984791,0.001000055
40,104454,12.756,1,0.041558405,0.171428571,0.003408648,0.014583333,0,0.336507937,0.314285714,0
41,104455,13.964,1,0.032864707,0.113821138,0.004355987,0.029285714,0,0.362240289,0.2899729,0.001000975
42,104457,13.598,1,0.037524052,0.117647059,0.004544864,0.030989583,0,0.341736695,0.310084034,0.000999999
43,104458,16.334,1,0.040069662,0.005681818,0.002856772,0.024444444,0,0.306818182,0.329545455,0.001000919
44,104459,14.782,1,0.035231247,0.011331445,0.004167109,0.026742424,0,0.360717658,0.314447592,0.000999999
45,104460,13.994,1,0.03701493,0.214285714,0.00401463,0.029444444,0,0.392632525,0.26819407,0.000999999
46,104461,14.434,1,0.048619401,0.490909091,0.003570965,0.018333333,0,0.357575758,0.295454545,0.000999999
47,104462,13.686,1,0.043363155,0.297455969,0.004423668,0.026614583,0,0.340508806,0.304305284,0.001000055
